001,PlayerOne,12300,02:45,2025-05-01
002,ShadowWolf,11700,03:02,2025-05-02
003,ArcherQueen,11000,02:58,2025-05-03
004,MageMaster,10800,03:10,2025-05-03
005,NightSlayer,10200,03:30,2025-05-04
006,QuickFox,9800,03:45,2025-05-04
007,IronFist,9400,04:05,2025-05-05
008,SilentArrow,9100,03:55,2025-05-05
009,BlazeKing,8800,04:20,2025-05-06
010,FrostByte,8600,04:40,2025-05-06
011,StormBreaker,8300,04:30,2025-05-07
012,LightBlade,8000,05:00,2025-05-07
013,SniperZero,7700,05:10,2025-05-08
014,BurntToast,7500,05:20,2025-05-08
015,ElectricEel,7300,05:25,2025-05-09
016,GlitchCat,7000,05:30,2025-05-09
017,PixelKnight,6800,05:45,2025-05-10
018,TinyTank,6600,06:00,2025-05-10
019,SwiftNinja,6400,06:15,2025-05-11
020,FinalBoss,6200,06:30,2025-05-11
